template_id	original_inflection	num_attractors	subject	correct_verb	incorrect_verb	sv_distance	template
447	plural	4	sections	form	forms	22	the [SUBJECT] of the former route from drysdale to south geelong , along with a walking track adjacent to the queenscliff-drysdale line , now [VERB] the bellarine rail trail , accessible to cyclists and walkers .
449	singular	2	work	includes	include	5	romayne 's film [SUBJECT] scoring independent features and documentaries [VERB] the screamfest crystal skull winner h .
457	singular	3	loss	has	have	8	the [SUBJECT] of basic needs providers emigrating from impoverished countries [VERB] a damaging effect .
466	plural	2	actions	have	has	5	one 's [SUBJECT] at this level of existence [VERB] a consistency and coherence that they lacked in the previous sphere of existence .
472	plural	1	islands	include	includes	3	the [SUBJECT] in the gulf [VERB] santa catalina island .
479	plural	1	rules	represent	represents	2	the oaths themselves talk about the family bond , and we can conjecture that the [SUBJECT] of secrecy [VERB] the family loyalty as well as a sense of self-preservation .
492	singular	3	finding	shows	show	11	the [SUBJECT] of extensive deposits of fishbones associated with the earliest levels also [VERB] a continuity of the abzu cult associated later with enki and ea .
536	plural	2	people	include	includes	3	the [SUBJECT] on death row [VERB] foreign nationals , many of whom were convicted of drug-related offences .
546	singular	1	sequence	has	have	3	in addition , the [SUBJECT] of secondary measures [VERB] applications in quantum mechanics .
560	singular	1	manipulation	requires	require	3	the [SUBJECT] of large quantities [VERB] specific precautions to prevent the release of the vapour into the environment .
581	singular	1	councillor	becomes	become	4	the [SUBJECT] with the highest votes [VERB] the deputy mayor and may proxy for the mayor .
