literal_premise	metaphorical_premise	literal_conclusion	metaphorical_conclusion
the rail is fiery during hot summers	my friend is a man of fiery passions	cold water could change this	my friend may get angry very easily
the chair is too low to help me me reach to the shelf	I am feeling low	being taller could help	happy thoughts could help
a balloon soared into the air	my spirit soared when my favourite team scored a goal	something was going higher and higher in the sky	my favourite team was playing a match
I am drawn to the center of the vortex	I am drawn to psychological stories	I am being forced in some direction	I would choose this kind of stories over another
my toy was attracted by a magnet	my toy is a magnet for coincidences	my toy contains iron	coincidences often happen around this toy
I see what you are pointing at	I see what you mean	my eyes are working well	I understand you
the view isn't clear	the explanation isn't clear	it's foggy outside	I need additional information
the waiter is taking a fly out of a soup	heat brings out flavour in the soup	it will now be outside of the soup	the soup will taste better
the child is removing the blue from the doll's eyes	this dress brings out the blue in the doll's eyes	there will be less blue in the doll's eyes	the doll's eyes will draw more attention
my friends will come out of the house sooner or later	the facts will come out sooner or later	they will be outside	something new will be known
the ducks emerged from the cave	the facts emerged from the report	they were now outside	they were now known
there is an ant nest is in a tree ring	the history of the forest is in the tree rings	you could take it out with the proper tools	you could study it to learn about the past
there is a lot of flour in the bags	there is a lot of information in the footprints	they are heavy	they are intriguing
you need to take a good look at the dry spots in the garden	you need to take a good look at your own motives	good eyesight will help you	good introspective abilities will help you
I brought a book upstairs	I brought up a book about mathematics	the book was now higher than before	we talked about this book
I turned up while sleeping	I turned up at a conference	I was now facing up towards the ceiling	I met other people who were there
I was trying to grasp a pen	I was trying to grasp a new idea	I was using my hand	I was using my brain
my friend has an instrument with a strong handle	my friend has a strong handle on patent law	my friend can move this object using his hands	my friend has knowledge about something
my friend has a sharp knife	my friend has a sharp mind	my friend has something he could use to cut carrots	my friend has something he could use to understand advanced mathematics
a medicine student dissected a frog	a maths student dissected a problem	the student may have used sharp tools	the student may have used pencils
I am carefully weighing the recipe ingredients	I am carefully weighing a proposal	I am using a scale	I am thinking of pros and cons
John needs to wake up before the train leaves	John needs to wake up to what is going on in the city	John may be asleep	John may be uninformed
my friend is on the other side of the bridge from me	my friend is on the other side of a debate	there may be a river bed between us	we have different beliefs
my friend has a lot of books in his suitcase	my friend has a lot of facts in his brain	my friend is carrying something heavy	my friend might do well in a general knowledge quiz
my friend's jacket is like a sponge	my friend's brain is like a sponge	my friend has something that absorbs water	my friend learns new information quickly
the student needs to add two numbers together to finish the homework	the student needs to put two and two together to understand what is happening	the student is doing arithmetics	there is something that the student doesn't yet understand
the pupil forgot to add X to the final result	something about a situation doesn't add up	someone was doing mathematics	someone was doing something strange
part of the committee thinks the decision is good	part of me thinks I should stop eating chocolate	multiple people are making a decision	one person is trying to make a decision
I pleaded with the officers for my friend to be released	I pleaded with myself to take the job	I talked to other people	part of me was unsure about that
I am chewing gum	I am chewing on a proposal	I am using my jaw muscles	I am carefully thinking about its advantages and disadvantages
two batteries made contact	two people made eye contact	a physical link was established	a communication opportunity was established
I made contact with the ice	I made contact with an institution	I touched something	I talked to someone
I was out of the room during the break	I was out for a minute after the ball hit my head	I briefly walked out	I briefly lost consciousness
the patient was coming back to the hospital	the patient was coming back to life	the patient was travelling	the patient was recovering
I am often wandering through the woods	my mind is often wandering	I often take walks	I often don't pay attention
my friend is off to the pharmacy	my friend is off in her own world	my friend is somewhere else	my friend is thinking about something else
I am following the usual road to work	I am not following an explanation	I am going somewhere	I am trying to understand something
I was with my friend until my bus arrived	I was with the teacher until he lost me at the last slide	I went away afterwards	something no longer made sense to me at some point
I am sticking a note on the desk	I am sticking to my plans	I am using an adhesive	I am being stubborn
I have a different stance in karate than in judo	I have a different stance on a topic from my boss	we are using different muscle groups	an argument might occur between us
